"species_id","hectad_id","week_no","nrec"
"15",1,35,1
"15",1,36,1
"15",1,37,1
"4",1,19,1
"4",1,20,1
"4",1,21,1
"4",1,24,3
"4",1,25,3
"4",1,26,3
"4",1,38,2
"4",1,39,2
"4",1,40,2
"40",1,22,1
"40",1,23,1
"40",1,24,1
"40",1,39,1
"40",1,40,1
"40",1,41,1
"47",1,19,1
"47",1,20,1
"47",1,21,1
"5",1,26,1
"5",1,27,1
"5",1,28,1
"51",1,40,1
"51",1,41,1
"51",1,42,1
"8",1,34,2
"8",1,35,3
"8",1,36,3
"8",1,37,1
"1",2,32,2
"1",2,33,4
"1",2,34,4
"1",2,35,2
"1",2,41,1
"1",2,42,1
"1",2,43,1
"15",2,24,1
"15",2,25,1
"15",2,26,1
"15",2,32,1
"15",2,33,1
"15",2,34,2
"15",2,35,2
"15",2,36,2
"15",2,37,1
"15",2,40,1
"15",2,41,1
"15",2,42,1
"16",2,42,1
"16",2,43,2
"16",2,44,2
"16",2,45,1
"38",2,22,1
"38",2,23,1
"38",2,24,1
"38",2,28,1
"38",2,29,1
"38",2,30,3
"38",2,31,2
"38",2,32,2
"38",2,33,1
"38",2,34,6
"38",2,35,10
"38",2,36,13
"38",2,37,10
"38",2,38,9
"38",2,39,6
"38",2,40,4
"38",2,41,1
"4",2,18,2
"4",2,19,7
"4",2,20,7
"4",2,21,5
"4",2,24,14
"4",2,25,23
"4",2,26,34
"4",2,27,21
"4",2,28,12
"4",2,29,1
"4",2,33,1
"4",2,34,1
"4",2,35,2
"4",2,36,2
"4",2,37,7
"4",2,38,8
"4",2,39,14
"4",2,40,9
"4",2,41,7
"40",2,22,1
"40",2,23,1
"40",2,24,1
"40",2,25,1
"40",2,26,1
"40",2,27,1
"40",2,28,1
"40",2,29,1
"40",2,30,1
"40",2,35,1
"40",2,36,1
"40",2,37,1
"40",2,39,1
"40",2,40,4
"40",2,41,4
"40",2,42,3
"41",2,38,3
"41",2,39,3
"41",2,40,3
"47",2,19,3
"47",2,20,3
"47",2,21,3
"47",2,22,1
"47",2,23,1
"47",2,24,4
"47",2,25,5
"47",2,26,5
"47",2,27,2
"47",2,30,1
"47",2,31,1
"47",2,32,1
"47",2,34,1
"47",2,35,1
"47",2,36,1
"5",2,26,1
"5",2,27,1
"5",2,28,1
"51",2,12,2
"51",2,13,2
"51",2,14,2
"51",2,25,1
"51",2,26,1
"51",2,27,1
"51",2,28,1
"51",2,29,1
"51",2,30,1
"51",2,33,5
"51",2,34,5
"51",2,35,5
"51",2,36,3
"51",2,37,14
"51",2,38,17
"51",2,39,16
"51",2,40,12
"51",2,41,18
"51",2,42,17
"51",2,43,10
"51",2,44,1
"7",2,23,1
"7",2,24,1
"7",2,25,1
"7",2,35,1
"7",2,36,1
"7",2,37,1
"7",2,39,1
"7",2,40,1
"7",2,41,1
"8",2,32,1
"8",2,33,1
"8",2,34,10
"8",2,35,15
"8",2,36,20
"8",2,37,17
"8",2,38,13
"8",2,39,11
"8",2,40,5
"8",2,41,3
"15",3,23,2
"15",3,24,2
"15",3,25,2
"15",3,27,2
"15",3,28,2
"15",3,29,3
"15",3,30,1
"15",3,31,3
"15",3,32,5
"15",3,33,7
"15",3,34,5
"15",3,35,3
"15",3,36,2
"15",3,37,2
"15",3,38,3
"15",3,39,2
"15",3,40,2
"21",3,36,1
"21",3,37,1
"21",3,38,1
"25",3,31,2
"25",3,32,2
"25",3,33,3
"25",3,34,1
"25",3,35,2
"25",3,36,1
"25",3,37,1
"26",3,26,1
"26",3,27,1
"26",3,28,2
"26",3,29,1
"26",3,30,1
"26",3,33,2
"26",3,34,2
"26",3,35,2
"26",3,38,1
"26",3,39,1
"26",3,40,1
"28",3,17,1
"28",3,18,2
"28",3,19,2
"28",3,20,1
"28",3,36,2
